company_permalink,company_name,company_category_list,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,price_amount,price_currency_code
/organization/170-systems,170 Systems,Software,USA,MA,Boston,Bedford,/organization/kofax,Kofax,Software,USA,CA,Anaheim,Irvine,2009-09-08,2009-09,43000000,USD
/organization/1bog,One Block Off the Grid (1BOG),Clean Technology|Residential Solar,USA,CA,SF Bay Area,San Francisco,/organization/virgance,Virgance,Apps|Curated Web|Internet|Social Network Media,USA,CA,SF Bay Area,San Francisco,2008-11-01,2008-11,,USD
/organization/1click,1CLICK,Chat|Mobile,IND,19,Bangalore,Bangalore,/organization/freshdesk,Freshdesk,Customer Service|Customer Support Tools|Software,USA,CA,SF Bay Area,San Francisco,2015-08-18,2015-08,,USD
/organization/1docway,1DocWay,Doctors|Health Care|Health Care Information Technology|Video|Video Chat,USA,NY,New York City,New York,/organization/genoa,Genoa,,USA,WA,Seattle,Tukwila,2015-11-04,2015-11,,USD
/organization/1docway,1DocWay,Doctors|Health Care|Health Care Information Technology|Video|Video Chat,USA,NY,New York City,New York,/organization/genoa-healthcare,Genoa Healthcare,,,,,,2015-11-04,2015-11,,USD
/organization/1form-com,1Form.com,,NOR,2,,,/organization/rea-group,REA Group,News,AUS,7,Melbourne,Melbourne,2014-01-14,2014-01,15000000,USD
/organization/1st-bank,1st Bank,,,,,,/organization/gelexir-healthcare,Gelexir Healthcare,Health and Wellness|Health Care,GBR,I2,Manchester,Manchester,2015-06-25,2015-06,14200000,USD
/organization/1st-choice-security-solutions,1st Choice Security Solutions,Security,USA,GA,Atlanta,Atlanta,/organization/comcam,ComCam,Intelligent Systems|Security|Sensors,USA,PA,Philadelphia,West Chester,2011-04-13,2011-04,,USD
/organization/1st-united-bancorp,1st United Bancorp,Banking,USA,FL,Palm Beaches,Boca Raton,/organization/valley-national-bancorp,Valley National Bancorp,Banking,USA,NV,Las Vegas,Las Vegas,2014-05-08,2014-05,300000000,USD
/organization/1up,1Up,Software,,,,,/organization/ugo-entertainment,UGO Entertainment,Curated Web|Entertainment|Games|Video Games,USA,NY,New York City,New York,2009-01-06,2009-01,,USD
/organization/1vault-networks,1Vault Networks,Software,,,,,/organization/peak-2,Peak 10,Business Services|Data Centers|Homeland Security|Infrastructure|SaaS|Services|Virtualization|Web Hosting,USA,NC,Charlotte,Charlotte,2009-12-22,2009-12,,USD
/organization/2-10-home-buyers-warranty,2-10 Home Buyers Warranty,,,,,,/organization/brera-capital-partners,Brera Capital Partners,Financial Services,USA,NY,New York City,New York,2002-11-15,2002-11,,USD
/organization/20-20-media,20:20 Media,Public Relations|Services|Social Media,IND,36,New Delhi,Noida,/organization/publicis-groupe,Publicis Groupe,Public Relations,FRA,A8,Paris,Paris,2010-10-01,2010-10,,USD
/organization/20-year-media,20 Year Media,,,,,,/organization/mobio-technologies,Mobio Technologies,Internet,,,,,2015-09-18,2015-09,,USD
/organization/2020-social,2020 Social,Communities|Consulting|Local Businesses,IND,7,New Delhi,New Delhi,/organization/publicis-groupe,Publicis Groupe,Public Relations,FRA,A8,Paris,Paris,2010-10-01,2010-10,,USD
/organization/21st-century-infra-tele,21st Century Infra Tele,Public Relations,USA,IN,,,/organization/wireless-tt-info-services,Wireless TT Info Services,Public Relations,IND,2,Hyderabad,Hyderabad,2010-04-06,2010-04,,USD
/organization/21st-century-insurance,21st Century Insurance,Business Services|Finance|Insurance,USA,AL,AL - Other,De Armanville,/organization/american-international-group,American International Group,Finance|Insurance|Venture Capital,USA,NY,New York City,New York,2007-09-01,2007-09,749000000,USD
/organization/22touch,22Touch,Internet|SaaS|Service Providers|Software,,,,,/organization/refer-com,Refer.com,Internet|Professional Services|Small and Medium Businesses,USA,ID,ID - Other,Meridian,2013-11-01,2013-11,,USD
/organization/236-com,236.com,Curated Web,,,,,/organization/huffingtonpost,The Huffington Post,Media|News|Publishing,USA,NY,New York City,New York,2009-01-14,2009-01,,USD
/organization/24-7-real-media,24/7 Real Media,Advertising|Media,USA,NY,New York City,New York,/organization/wpp,WPP,Public Relations,GBR,H9,London,London,2007-05-17,2007-05,649000000,USD
/organization/24-7-solutions,24/7 Solutions,Software,,,,,/organization/sentel,Sentel,,,,,,2009-04-16,2009-04,,USD
/organization/24-solutions-ab,24 Solutions AB,,,,,,/organization/24mas,24MAS,Advertising|Android|App Marketing|iPad|iPhone|Mobile|Mobile Games,SWE,26,SWE - Other,Nacka,2009-12-23,2009-12,,USD
/organization/24hae,24hae,Restaurants,,,,,/organization/rocket-internet,Rocket Internet,Internet|Software,DEU,16,Berlin,Berlin,2015-02-11,2015-02,,USD
/organization/263-com,263.com,,,,,,/organization/beijing-feixiangren-information-technology,Beijing Feixiangren Information Technology,Curated Web,CHN,22,Beijing,Beijing,2010-01-08,2010-01,,USD
/organization/280-north,280 North,Presentations|Software,USA,CA,SF Bay Area,San Francisco,/organization/motorola-mobility,Motorola Mobility,Mobile,USA,IL,Chicago,Libertyville,2010-07-01,2010-07,20000000,USD
/organization/280-north,280 North,Presentations|Software,USA,CA,SF Bay Area,San Francisco,/organization/motorola-solutions,Motorola Solutions,Public Safety,USA,IL,Chicago,Schaumburg,2010-08-24,2010-08,20000000,USD
/organization/29west,29West,,,,,,/organization/informatica,Informatica,Big Data Analytics|Cloud Computing|Data Integration|Data Security|Mobile Devices|Software,USA,CA,SF Bay Area,Redwood City,2010-03-22,2010-03,,USD
/organization/2b-technology,2b Technology,,,,,,/organization/citysearch,Citysearch,Curated Web|Reviews and Recommendations,USA,CA,Los Angeles,West Hollywood,2000-02-02,2000-02,,USD
/organization/2dehands-be,2dehands.be,E-Commerce,BEL,1,Brussels,Bel,/organization/ebay,eBay,All Markets|Auctions|Business Services|E-Commerce|Internet|Search,USA,CA,SF Bay Area,San Jose,2013-07-04,2013-07,,USD
/organization/2ememain-be,2ememain.be,E-Commerce,BEL,1,Brussels,Bel,/organization/ebay,eBay,All Markets|Auctions|Business Services|E-Commerce|Internet|Search,USA,CA,SF Bay Area,San Jose,2013-07-04,2013-07,,USD
/organization/2ergo,2ergo,iPhone|Media|Messaging|Mobile|Mobile Coupons|Mobile Payments|Mobile Security|Sales and Marketing|SMS|Wireless,AUS,2,Sydney,Surry Hills,/organization/soundbite-communication,SoundBite Communications,App Marketing|Audio|Chat|Customer Service|Email|Messaging|Mobile|Public Relations|SMS,USA,VA,Roanoke,Bedford,2012-02-01,2012-02,,USD
/organization/2go-media,2Go Media,Internet|Portals|Sales and Marketing,USA,FL,Ft. Lauderdale,Fort Lauderdale,/organization/affinity-solutions,Affinity Solutions,Finance,USA,NY,New York City,New York,2014-10-02,2014-10,,USD
/organization/2lemetry,2lemetry,Internet of Things|M2M|Software,USA,CO,Denver,Denver,/organization/amazon,Amazon,Consumer Goods|Crowdsourcing|Delivery|E-Commerce|Groceries|Internet|Retail|Software,USA,WA,Seattle,Seattle,2015-03-12,2015-03,,USD
/organization/2nd-story-software-inc,"2nd Story Software, Inc.",Software,USA,IA,Cedar Rapids,Cedar Rapids,/organization/blucora,Blucora,Internet,USA,WA,Seattle,Bellevue,2012-01-09,2012-01,287500000,USD
/organization/2web-technologies,2Web Technologies,Software,,,,,/organization/google,Google,Blogging Platforms|Email|Information Technology|Search|Software|Video Streaming,USA,CA,SF Bay Area,Mountain View,2006-06-01,2006-06,,USD
/organization/2wire,2Wire,Curated Web,USA,CA,SF Bay Area,San Jose,/organization/pace,Pace,Consumer Electronics|Electronics|Hardware + Software|Technology,DEU,7,DEU - Other,England,2010-07-26,2010-07,475000000,USD
/organization/3-blokes-studios,3 Blokes Studios,Games,AUS,4,Brisbane,Brisbane,/organization/rockyou,RockYou,Facebook Applications|Games|Messaging|Mobile|Online Gaming|Online Video Advertising|Web Tools,USA,CA,SF Bay Area,San Francisco,2011-06-01,2011-06,,USD
/organization/3-day-blinds,3 day Blinds,Interior Design|Retail|Services,USA,CA,Anaheim,Irvine,/organization/rosewood-capital,Rosewood Capital,,,,,,2006-06-20,2006-06,,USD
/organization/3001,3001,,USA,VA,"Washington, D.C.",Fairfax,/organization/northrop-grumman,Northrop Grumman,Data Integration|Security|Software|Technology,USA,CA,Los Angeles,Los Angeles,2008-09-10,2008-09,,USD
/organization/360-scheduling,360 Scheduling,Software,GBR,J8,Nottingham,Nottingham,/organization/ifs,IFS,Software,SWE,16,Linkoping,Linköping,2010-09-30,2010-09,,USD
/organization/360-vantage,360 Vantage,Mobile,USA,AZ,Phoenix,Chandler,/organization/ims-health,IMS Health,Curated Web|Technology,USA,CT,Hartford,Danbury,2013-05-20,2013-05,,USD
/organization/360commerce,360Commerce,Information Technology|Retail|Software,USA,TX,Austin,Austin,/organization/oracle,Oracle Corporation,Enterprise Software|Hardware|Information Services|Information Technology|Software,USA,CA,SF Bay Area,Redwood Shores,2006-01-18,2006-01,,USD
/organization/360naija-forum,360Naija Forum,,,,,,/organization/iroyin,Iroyin,Consulting,NGA,5,Lagos,Lagos,2011-09-25,2011-09,10000,USD
/organization/360networks,360networks,Public Relations|VoIP,USA,WA,Seattle,Seattle,/organization/zayo-group,Zayo,Data Centers|Internet|Mobile|Mobile Infrastructure|Telecommunications,USA,CO,Denver,Boulder,2011-10-01,2011-10,,USD
/organization/360t,360T,Finance|FinTech,DEU,5,Frankfurt,Frankfurt,/organization/deutsche-boerse,Deutsche Börse,Finance,DEU,5,Eschborn,Eschborn,2015-07-26,2015-07,796000000,USD
/organization/3721-internet-assistant,3721 Internet Assistant,,,,,,/organization/yahoo,Yahoo!,Email|Internet|Photography|Portals|Search|Technology,USA,CA,SF Bay Area,Sunnyvale,2004-01-01,2004-01,,USD
/organization/3com,3Com,Curated Web,USA,MA,Boston,Marlborough,/organization/hewlett-packard,Hewlett-Packard,Curated Web|Information Technology,USA,CA,SF Bay Area,Palo Alto,2009-11-11,2009-11,2700000000,USD
/organization/3crowd-technologies,XDN/3Crowd Technologies,Enterprise Software,USA,CA,SF Bay Area,San Mateo,/organization/fortinet,Fortinet,Communications Hardware|Computers|Data Security|Enterprise Security|Information Security|Mobile Security|Network Security|Wireless,USA,CA,SF Bay Area,Sunnyvale,2012-12-01,2012-12,,USD
/organization/3d-geo,3D Geo,Software,DEU,11,Berlin,Potsdam,/organization/autodesk,Autodesk,Software,USA,CA,SF Bay Area,San Rafael,2008-09-09,2008-09,,USD
/organization/3d-markets,3D Markets,Software,,,,,/organization/pipeline-financial-group,Pipeline Financial Group,Enterprise Software,USA,NY,New York City,New York,2009-04-22,2009-04,,USD
/organization/3d-plus,3D Plus,Semiconductors,FRA,A8,FRA - Other,Buc,/organization/heico,Heico,Manufacturing,USA,FL,Ft. Lauderdale,Hollywood,2011-06-21,2011-06,,USD
/organization/3d3r,3D3R Software Studio,Software,USA,CA,SF Bay Area,Santa Clara,/organization/chegg,Chegg,Consumers|Education|Online Rental|Textbooks,USA,CA,SF Bay Area,Santa Clara,2011-11-14,2011-11,,USD
/organization/3db-research,3dB Research,,CAN,BC,Vancouver,Victoria,/organization/harman-international,Harman International Industries,Audio|Consumer Electronics|Electronics|Manufacturing,USA,CT,Hartford,Stamford,2011-02-18,2011-02,,USD
/organization/3dc,3DC,Technology,BGR,42,Sofia,Sofia,/organization/telecitygroup,TelecityGroup,Data Centers|Internet|Web Hosting,GBR,H9,London,London,2013-09-23,2013-09,,USD
/organization/3di-technologies,3Di Technologies Inc,Software,USA,MD,Baltimore,Hanover,/organization/l-3-communications,L-3 Communications,Broadcasting|Mobile,USA,NY,New York City,New York,2010-09-21,2010-09,,USD
/organization/3done-software,3DOne Software,,,,,,/organization/actify,Actify,Automotive|Collaboration|Intelligent Systems|Manufacturing|Software,USA,CA,SF Bay Area,San Francisco,2011-07-06,2011-07,,USD
/organization/3dtin,3DTin,3D|Design|Web Browsers,IND,16,Mumbai,Mumbai,/organization/lagoa,Lagoa,3D|Enterprise Software|Games,CAN,QC,Montreal,Montréal,2013-09-22,2013-09,,USD
/organization/3e-company,3E Company,Clean Technology,USA,CA,San Diego,Carlsbad,/organization/verisk-analytics,Verisk Analytics,Public Relations|Technology,USA,NJ,Newark,Jersey City,2010-12-07,2010-12,110000000,USD
/organization/3gear-systems,Nimble VR,Software,USA,CA,SF Bay Area,San Francisco,/organization/oculus-vr,Oculus VR,Consumer Electronics|Hardware + Software|Video Games|Virtualization|Wearables,USA,CA,Anaheim,Irvine,2014-12-12,2014-12,,USD
/organization/3leaf,3Leaf,Web Hosting,USA,CA,SF Bay Area,Santa Clara,/organization/huawei,Huawei Technologies,Mobile|Security|Storage|Web Hosting|Wireless,CHN,30,Shenzhen,Shenzhen,2011-02-19,2011-02,,USD
/organization/3lm,3LM,Android|Enterprises|Mobile,,,,,/organization/motorola-mobility,Motorola Mobility,Mobile,USA,IL,Chicago,Libertyville,2011-02-14,2011-02,,USD
/organization/3one-media-hawaii,3One Media Hawaii,Web Hosting,USA,HI,Honolulu,Honolulu,/organization/us-internet,US Internet,Web Hosting,USA,MN,Minneapolis,Minnetonka,2001-02-01,2001-02,,USD
/organization/3par,3PAR,Cloud Data Services|Services|Software,USA,CA,SF Bay Area,Fremont,/organization/hewlett-packard,Hewlett-Packard,Curated Web|Information Technology,USA,CA,SF Bay Area,Palo Alto,2010-09-02,2010-09,2350000000,USD
/organization/3pd-inc,"3PD, Inc.",,USA,GA,Atlanta,Marietta,/organization/xpo-logistics,XPO Logistics,E-Commerce,USA,CT,Hartford,Greenwich,2013-08-16,2013-08,365000000,USD
/organization/3ple-media,3ple-Media,,,,,,/organization/newnet-communication-technologies,NewNet Communication Technologies,Telecommunications,USA,IL,Chicago,Lombard,2010-10-19,2010-10,,USD
/organization/3q-digital,3Q Digital,Advertising|Analytics|Internet Marketing|Semantic Search|Social Media|Social Media Advertising,USA,CA,SF Bay Area,San Mateo,/organization/harte-hanks,Harte Hanks,Analytics|Customer Service|Databases|Data Visualization|Direct Marketing|Sales and Marketing,USA,TX,Austin,Austin,2015-03-16,2015-03,,USD
/organization/3rd-federal-bank,3rd Federal Bank,Banking,USA,PA,Philadelphia,Newtown,/organization/national-penn-bancshares,National Penn Bancshares,Banking,USA,PA,Allentown,Allentown,2014-06-04,2014-06,138000000,USD
/organization/3rd-power,3rd Power,Curated Web,,,,,/organization/mediabistro-inc,Mediabistro Inc.,Curated Web,USA,NY,New York City,New York,2010-01-03,2010-01,,USD
/organization/3rdwhale,3rdWhale,Apps|Green|iPhone|Mobile|Sustainability,,,,,/organization/gengreen,GenGreen,Clean Technology|Databases|Green,,,,,2009-09-30,2009-09,,USD
/organization/3tera,3Tera,Cloud Computing|Cloud Management|Enterprise Software,USA,CA,Anaheim,Aliso Viejo,/organization/ca,CA Technologies,Software,USA,NY,New York City,New York,2010-02-24,2010-02,,USD
/organization/3tier-environmental-forecast-group,3TIER,Clean Technology,USA,WA,Seattle,Seattle,/organization/vaisala,Vaisala,,FIN,13,Vantaa,Vantaa,2013-12-17,2013-12,14700000,USD
/organization/3v-transaction-services,3V Transaction Services,Coupons|Online Shopping|Payments|Retail Technology,IRL,7,Blackrock,Blackrock,/organization/safecharge,SafeCharge,Big Data|Mobile|Retail Technology,USA,IL,Chicago,Chicago,2014-12-23,2014-12,14500000,EUR
/organization/3ware,3ware,Databases|Electronics|Storage,USA,CA,SF Bay Area,Sunnyvale,/organization/applied-micro-circuits,Applied Micro Circuits,Semiconductors,USA,CA,SF Bay Area,Sunnyvale,2004-03-02,2004-03,150000000,USD
/organization/41st-parameter,41st Parameter,Security,USA,CA,SF Bay Area,San Jose,/organization/experian,Experian,Analytics|Credit|Data Security|Information Services,USA,CA,Anaheim,Costa Mesa,2013-10-01,2013-10,324000000,USD
/organization/42networks,42Networks,Web Hosting,SWE,26,Stockholm,Kista,/organization/packetfront,PacketFront,Internet|Software,SWE,26,Stockholm,Stockholm,2006-12-15,2006-12,,USD
/organization/4c-solutions,4C Solutions,CRM|Software,USA,IL,Moline - Davenport,East Moline,/organization/parametric-technology,Parametric Technology (PTC),3D Technology|CAD|Computers|Manufacturing|Product Development Services|Service Providers|Software,USA,MA,Boston,Needham,2011-09-01,2011-09,,USD
/organization/4care,4Care,Eyewear,USA,GA,GA - Other,Germany,/organization/myoptique-group,MyOptique Group,E-Commerce,GBR,H9,London,London,2015-08-17,2015-08,,USD
/organization/4dk-technologies,4DK Technologies,Mobile,USA,VA,"Washington, D.C.",Herndon,/organization/radius-networks,Radius Networks,Hardware + Software,USA,DC,"Washington, D.C.",Washington,2014-04-29,2014-04,,USD
/organization/4g-analytics,4G Analytics,,,,,,/organization/masae-analytics,Masae Analytics,,,,,,2015-01-01,2015-01,,USD
/organization/4home,4Home,Automotive|Clean Energy|Cloud Computing|Internet|Software|Wireless,USA,CA,SF Bay Area,Sunnyvale,/organization/motorola-solutions,Motorola Solutions,Public Safety,USA,IL,Chicago,Schaumburg,2010-12-01,2010-12,,USD
/organization/4m-wireless,4M Wireless,Mobile,GBR,A5,London,Luton,/organization/u-blox-ag,u-blox AG,,,,,,2012-04-24,2012-04,9000000,USD
/organization/4mads,4Mads,Advertising|Startups,USA,CA,SF Bay Area,San Francisco,/organization/insequent,InSequent,Local Businesses|Mobile|SaaS|Sales and Marketing|SMS,USA,CA,SF Bay Area,San Francisco,2012-11-10,2012-11,,USD
/organization/4meee,4meee,E-Commerce,JPN,40,Tokyo,Tokyo,/organization/enigmo,Enigmo,E-Commerce|Entertainment|Mobile|Promotional|Social Buying|Startups|Video,JPN,40,Tokyo,Tokyo,2015-02-10,2015-02,5000000,USD
/organization/500friends,500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,USA,CA,SF Bay Area,San Francisco,/organization/merkle,Merkle,Advertising,USA,MD,Baltimore,Columbia,2014-11-18,2014-11,,USD
/organization/504investor-com,504investor.com,Data Centers|Information Services|Storage,,,,,/organization/pivx-solutions,PivX Solutions,Software,NZL,,,,2008-10-25,2008-10,,USD
/organization/53central,53central,,,,,,/organization/mebelkart-tech-pvt-ltd,Mebelkart,E-Commerce,IND,19,Bangalore,Bangalore,2015-09-29,2015-09,,USD
/organization/55bbs-com,55BBS.com,Curated Web,,,,,/organization/cnetnetworks,CNET Networks,Blogging Platforms|Curated Web|Media|News|Reviews and Recommendations|Technology,USA,CA,SF Bay Area,San Francisco,2008-06-18,2008-06,,USD
/organization/56-com,56.com,Photography,CHN,30,Guangzhou,Guangzhou,/organization/renren-inc,Renren Inc.,Curated Web|Social Media|Technology,CHN,19,CHN - Other,Chaoyang,2011-09-26,2011-09,80000000,USD
/organization/5by,5by,Apps|Photography|Photo Sharing,USA,CA,SF Bay Area,San Francisco,/organization/stumbleupon,StumbleUpon,Content|Curated Web|Search,USA,CA,SF Bay Area,San Francisco,2013-09-24,2013-09,,USD
/organization/5i-solutions-2,5i Solutions,,,,,,/organization/5i-solutions,5i Solutions,Software,USA,FL,Ft. Lauderdale,Fort Lauderdale,2015-10-28,2015-10,,USD
/organization/5min,5min Media,Education|Games|Video,USA,NY,New York City,New York,/organization/aol,AOL,Advertising Platforms|Content Creators|Digital Media|News,USA,NY,New York City,New York,2010-09-28,2010-09,65000000,USD
/organization/5rocks,5Rocks,Games,KOR,11,Seoul,Seoul,/organization/tapjoy,Tapjoy,Advertising|Android|Apps|Brand Marketing|Games|iOS|Mobile|Windows Phone 7,USA,CA,SF Bay Area,San Francisco,2014-08-05,2014-08,,USD
/organization/5square-com,5Square.com,Software,USA,CA,Los Angeles,Westlake Village,/organization/imagiclab,iMagicLab,Software,USA,MD,Baltimore,Owings Mills,2008-07-09,2008-07,,USD
/organization/5th-finger,5th Finger,Mobile,USA,CA,SF Bay Area,San Francisco,/organization/merkle,Merkle,Advertising,USA,MD,Baltimore,Columbia,2012-07-10,2012-07,,USD
/organization/5to1,5to1,Advertising|Internet|Internet Marketing,USA,WA,Seattle,Seattle,/organization/yahoo,Yahoo!,Email|Internet|Photography|Portals|Search|Technology,USA,CA,SF Bay Area,Sunnyvale,2011-05-11,2011-05,30000000,USD
/organization/601am,601am,Internet,USA,CO,Denver,Denver,/organization/six-apart,Six Apart,Blogging Platforms|Curated Web|Web CMS,JPN,40,Tokyo,Tokyo,2014-07-10,2014-07,,USD
/organization/60mo,60mo,Accounting|Business Development|Finance|Software|Web Development,GBR,U8,Edinburgh,Edinburgh,/organization/freeagent-central,FreeAgent,Software,GBR,U8,Edinburgh,Edinburgh,2012-05-03,2012-05,,USD
/organization/640-labs,640 Labs,Software,USA,IL,Chicago,Chicago,/organization/the-climate-corporation,The Climate Corporation,Agriculture|Finance|FinTech|News|Risk Management,USA,CA,SF Bay Area,San Francisco,2014-12-08,2014-12,,USD
/organization/6consulting,6Consulting,Consulting,GBR,F8,London,Elstree,/organization/radian6,Salesforce Radian6,CRM|Curated Web|Social Media Marketing|Social Media Monitoring,CAN,NS,Fredericton,Fredericton,2011-03-11,2011-03,,USD
/organization/6n-silicon,6N Silicon,Concentrated Solar Power|Manufacturing|Solar,CAN,ON,Toronto,Vaughan,/organization/silicor-materials,Silicor Materials,Manufacturing,USA,CA,SF Bay Area,San Jose,2010-02-11,2010-02,,USD
/organization/6th-sense-analytics,6th Sense Analytics,Software,USA,NC,Raleigh,Morrisville,/organization/rally-software,Rally Software,Enterprise Software|Health and Wellness|Software,USA,CO,Denver,Boulder,2009-01-14,2009-01,,USD
/organization/6wunderkinder,6Wunderkinder / Wunderlist,Android|Apps|Cloud Computing|Collaboration|Email|Finance|Home & Garden|Internet|iOS|iPad|iPhone|Mac|Productivity Software|Software|Synchronization|Task Management|Web Development,DEU,,,,/organization/microsoft,Microsoft,Software|Video Games,USA,WA,Seattle,Redmond,2015-06-01,2015-06,,USD
